n_states,seed,pool_f1,cssi_f1,pool_auc,cssi_auc
1,0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0
1,4,1.0,1.0,1.0,1.0
2,0,0.9629629629629629,1.0,0.999244142101285,1.0
2,1,1.0,1.0,1.0,1.0
2,2,0.9259259259259259,1.0,0.9984882842025699,1.0
2,3,0.9629629629629629,0.9629629629629629,0.9950869236583522,0.999244142101285
2,4,0.9259259259259259,1.0,0.9977324263038548,1.0
4,0,0.7037037037037037,0.9629629629629629,0.9520030234315948,0.999244142101285
4,1,0.8148148148148148,1.0,0.9663643235071806,1.0
4,2,0.7777777777777778,0.9629629629629629,0.9588057445200302,0.9996220710506425
4,3,0.7777777777777778,1.0,0.9236583522297808,1.0
4,4,0.8148148148148148,1.0,0.95427059712774,1.0
6,0,0.6666666666666666,0.8148148148148148,0.8306878306878306,0.9644746787603931
6,1,0.48148148148148145,0.9629629629629629,0.6693121693121692,0.9863945578231291
6,2,0.5185185185185185,0.7777777777777778,0.7668178382464097,0.9741118669690099
6,3,0.6666666666666666,0.8148148148148148,0.8510959939531367,0.9565381708238851
6,4,0.5555555555555556,0.9259259259259259,0.8235071806500377,0.9882842025699169
8,0,0.6296296296296297,0.7037037037037037,0.7721088435374149,0.9251700680272108
8,1,0.5925925925925926,0.7777777777777778,0.7985638699924413,0.9697656840513983
8,2,0.5555555555555556,0.8148148148148148,0.8000755857898716,0.9595616024187452
8,3,0.6296296296296297,0.8148148148148148,0.846938775510204,0.9720332577475435
8,4,0.48148148148148145,0.7407407407407407,0.7312925170068028,0.9448223733938019
